"","term","estimate","std.error","statistic","p.value"
"28","monthFebruary",2.10813944264907,0.814204642122862,2.58920096199962,0.0101086316121512
"29","monthJanuary",2.3171094799485,0.857078690000443,2.70349678154675,0.00726927265432225
"30","monthJuly",1.82443208220802,0.853432312144053,2.13775838604534,0.0333781620890728
"31","monthJune",2.01460954614303,0.756963160597642,2.66143671318489,0.00821759262223114
"32","monthMarch",1.98191268932654,0.787023891997249,2.51823700586394,0.0123365484643163
"33","monthMay",1.80843228436941,0.78162220887811,2.31369101827994,0.0213887296498937
"34","monthNovember",0.493241334336037,1.66176099211314,0.296818457453872,0.766819064174603
"35","monthOctober",0.923570171799782,1.42077711304383,0.6500457836213,0.516180818845871
"36","monthSeptember",1.10886938402014,0.918717529963612,1.20697531924101,0.228432047661845
"37","provAZUAY:monthAugust",0.393769181381843,1.17587434712167,0.334873519730846,0.737964262566434
"38","provBOLIVAR:monthAugust",-1.26604484219066,1.21364847369599,-1.0431726069206,0.297743198127115
"39","provCAÑAR:monthAugust",-0.226021176867715,1.22214480210959,-0.184938132108054,0.853407728052055
"40","provCARCHI:monthAugust",-1.05578844662239,1.21860275458408,-0.866392630946201,0.386996092082302
"41","provCHIMBORAZO:monthAugust",0.27348268319497,1.1970704348638,0.22845997631383,0.819450797535413
"42","provCOTOPAXI:monthAugust",0.0635028923728725,1.18351041063545,0.0536563867983017,0.957246130983024
"43","provEL ORO:monthAugust",0.428626991668892,1.17542647879048,0.364656573084819,0.715635391552917
"44","provESMERALDAS:monthAugust",-0.624015214085501,1.14921640350119,-0.542991913606858,0.587555351188539
"45","provGALAPAGOS:monthAugust",-0.850115126554812,1.23470483601739,-0.688516884162296,0.491681575602152
"46","provGUAYAS:monthAugust",0.172054352560721,1.3499764722611,0.127449889754407,0.898673273679988
"47","provIMBABURA:monthAugust",-0.0835715869780369,1.19018314473364,-0.0702174176704038,0.944069342528337
"48","provLOJA:monthAugust",-0.288098506969379,1.18323870128231,-0.243482998533735,0.807804593573638
"49","provLOS RIOS:monthAugust",-0.602857980901008,1.18617539997494,-0.508236792732124,0.611676348412971
"50","provMANABI:monthAugust",0.300971480927823,1.10938518903454,0.271295744618466,0.786357932073802
"51","provMORONA SANTIAGO:monthAugust",-0.4410735706733,1.22621123632087,-0.359704394812675,0.719331820254015
"52","provNAPO:monthAugust",-1.11001687004154,1.22320761361158,-0.907463996863262,0.364920145567594
"53","provORELLANA:monthAugust",-0.355103382964545,1.22427452383338,-0.290052088850681,0.771985113456806
"54","provPASTAZA:monthAugust",-0.981085591005444,1.2244230293707,-0.801263589030729,0.423639622480232
"55","provSANTA ELENA:monthAugust",-0.537765230424706,1.19888268803555,-0.448555338892975,0.654089748904423
"56","provSANTO DOMINGO DE LOS TSACHILAS:monthAugust",-0.114330046520026,1.1859246493441,-0.0964058269496788,0.923265314612835
"57","provSUCUMBIOS:monthAugust",-0.516735717709446,1.20767395375993,-0.427876842173055,0.669060563194126
"58","provTUNGURAHUA:monthAugust",0.0162489085428529,1.17839652529682,0.0137889990287947,0.9890078663205
"59","provZAMORA CHINCHIPE:monthAugust",-0.295747651966389,1.01718083403877,-0.290752285207841,0.771450045132695
"60","provAZUAY:monthDecember",1.7320354262135,1.69533435470643,1.02164827923482,0.307804804757777
"61","provBOLIVAR:monthDecember",0.273883184021413,1.92813770020238,0.142045448306242,0.887143422561732
"62","provCAÑAR:monthDecember",1.07282633061214,1.91320719357896,0.560747593994377,0.575405598215555
"63","provCARCHI:monthDecember",-0.461473511983452,1.96289019020991,-0.235098995494039,0.814298970214074
"64","provCHIMBORAZO:monthDecember",0.837896821810223,1.81099894166584,0.462671072043525,0.643949531403241
"65","provCOTOPAXI:monthDecember",0.561712738188186,1.83956357117297,0.305351088155121,0.760319342846867
"66","provEL ORO:monthDecember",1.20325967730189,1.71506161657106,0.701583934755404,0.483505211212667
"67","provESMERALDAS:monthDecember",1.29688552224337,1.77013160569954,0.73264920984836,0.464368260860323
"68","provGALAPAGOS:monthDecember",0.869619256381368,1.97509090378419,0.440293282053608,0.660054972005494
"69","provGUAYAS:monthDecember",0.644090571674767,1.14596018307413,0.562053185780802,0.574516945661943
"70","provIMBABURA:monthDecember",1.11793280386475,1.77336244837041,0.630402885147392,0.528930904851677
"71","provLOJA:monthDecember",0.697922232797309,1.84259396776043,0.378771582350068,0.705136567947884
"72","provLOS RIOS:monthDecember",0.240546606535408,1.747728805055,0.137633828451914,0.890625992651797
"73","provMANABI:monthDecember",0.914594934719166,1.45030451194515,0.630622691432234,0.52878734365606
"74","provMORONA SANTIAGO:monthDecember",0.60680210243511,1.93401278729093,0.313752890582015,0.753935855162595
"75","provNAPO:monthDecember",0.331027592305931,1.95418870006697,0.169393872912369,0.865605760555047
"76","provORELLANA:monthDecember",1.18258766796661,1.92277866482532,0.615040976686754,0.539013310592318
"77","provPASTAZA:monthDecember",0.400220436269212,1.96152405972304,0.204035445951003,0.838469902256172
"78","provSANTA ELENA:monthDecember",0.386770848488059,1.88765210426422,0.204895196320519,0.837798741589747
"79","provSANTO DOMINGO DE LOS TSACHILAS:monthDecember",0.823145223136261,1.75210890205094,0.469802546047638,0.638851613259901
"80","provSUCUMBIOS:monthDecember",1.01057263798119,1.89906295076608,0.532142779981849,0.595037380143122
